,strategyname,contract,entryprice,orderoffset,orderdirection,orderqty,ordertime,closetime,closeprice,closestatus,PNL,comdt,pal
0,TurtleUseCloseStrategy,HC1910,3554.0,开仓,空,2,2019-08-16 09:18:18,2019-08-27 09:18:18,3574.0,1,0,HC,-200.0
1,TurtleUseCloseStrategy,HC2001,3554.0,开仓,空,4,2019-08-16 09:15:18,,0.0,0,0,HC,0.0
2,TurtleUseCloseStrategy,HC2001,3364.0,开仓,空,2,2019-08-27 09:19:18,,0.0,0,0,HC,0.0
3,TurtleUseCloseStrategy,I2001,688.5,开仓,空,3,2019-08-16 09:09:18,2019-09-02 10:52:00.084036,627.5,1,0,I,6100.0
4,TurtleUseCloseStrategy,MA001,2181.0,开仓,空,3,2019-08-20 21:07:01.081336,2019-09-02 14:51:00.020563,2202.0,1,0,MA,-210.0
5,TurtleUseCloseStrategy,MA001,2141.0,开仓,空,1,2019-08-21 21:03:00.187973,2019-09-02 14:51:00.033496,2202.0,1,0,MA,-610.0
6,TurtleUseCloseStrategy,MA001,2141.0,开仓,空,1,2019-08-21 21:03:00.207595,2019-09-02 14:51:00.040890,2202.0,1,0,MA,-610.0
7,TurtleUseCloseStrategy,MA001,2141.0,开仓,空,1,2019-08-21 21:03:00.212628,2019-09-02 14:51:00.047506,2202.0,1,0,MA,-610.0
8,TurtleUseCloseStrategy,MA001,2115.0,开仓,空,3,2019-08-27 13:54:00.927523,2019-09-02 14:51:00.072285,2202.0,1,0,MA,-870.0
9,TurtleUseCloseStrategy,PP2001,8008.0,开仓,空,2,2019-08-22 21:09:00.577056,2019-09-04 14:40:18.952767,8061.0,1,0,PP,-265.0
10,TurtleUseCloseStrategy,PP2001,7891.0,开仓,空,2,2019-08-23 09:12:00.701895,2019-09-04 14:40:18.952767,8061.0,1,0,PP,-850.0
11,TurtleUseCloseStrategy,PP2001,7831.0,开仓,空,2,2019-08-27 21:26:05.954944,2019-09-04 14:40:18.952767,8061.0,1,0,PP,-1150.0
12,TurtleUseCloseStrategy,RB1910,3747.0,开仓,空,6,2019-08-16 09:16:18,,0.0,0,0,RB,0.0
13,TurtleUseCloseStrategy,RB2001,3293.0,开仓,空,6,2019-08-27 09:21:18,2019-09-05 09:04:00.107084,3466.0,1,0,RB,-1730.0
14,TurtleUseCloseStrategy,SF001,5774.0,开仓,空,3,2019-08-23 09:14:05.789842,2019-08-30 13:40:00.035273,5826.0,1,0,SF,-260.0
15,TurtleUseCloseStrategy,SF001,5774.0,开仓,空,1,2019-08-23 09:14:05.796860,2019-08-30 13:40:00.043662,5826.0,1,0,SF,-260.0
16,TurtleUseCloseStrategy,SF001,5710.0,开仓,空,5,2019-08-29 10:38:34.951325,2019-08-30 13:40:00.048778,5826.0,1,0,SF,-580.0
17,TurtleUseCloseStrategy,SF001,5692.0,开仓,空,2,2019-08-30 09:03:00.952059,2019-08-30 13:40:00.063234,5826.0,1,0,SF,-670.0
18,TurtleUseCloseStrategy,SF001,5692.0,开仓,空,1,2019-08-30 09:03:00.964474,2019-08-30 13:40:00.069569,5826.0,1,0,SF,-670.0
19,TurtleUseCloseStrategy,SF001,5692.0,开仓,空,1,2019-08-30 09:03:00.974090,2019-08-30 13:40:00.075420,5826.0,1,0,SF,-670.0
20,TurtleUseCloseStrategy,SF001,5692.0,开仓,空,1,2019-08-30 09:03:00.979203,2019-08-30 13:40:00.081437,5826.0,1,0,SF,-670.0
21,TurtleUseCloseStrategy,SF909,5914.0,开仓,空,1,2019-08-16 09:06:25.634516,2019-08-19 09:06:25.634516,6040.0,1,0,SF,-630.0
