datetime,close,date,high,instrument_id,limit_down,limit_up,low,open,open_interest,symbol,time,total_turnover,trading_day,volume
2019-05-20 15:00:00,2099.0,2019-05-20,2126.0,C2005,0,999999,2071.0,2076.0,8584,C2005,15:00:00,39310072.0,2019-05-20,18728
2019-05-21 15:00:00,2097.0,2019-05-21,2107.0,C2005,0,999999,2090.0,2100.0,10928,C2005,15:00:00,16637598.0,2019-05-21,7934
2019-05-22 15:00:00,2075.0,2019-05-22,2101.0,C2005,0,999999,2069.0,2088.0,12872,C2005,15:00:00,17977800.0,2019-05-22,8664
2019-05-23 15:00:00,2076.0,2019-05-23,2090.0,C2005,0,999999,2073.0,2077.0,15118,C2005,15:00:00,20481816.0,2019-05-23,9866
2019-05-24 15:00:00,2082.0,2019-05-24,2083.0,C2005,0,999999,2068.0,2071.0,16180,C2005,15:00:00,13333128.0,2019-05-24,6404
2019-05-27 15:00:00,2113.0,2019-05-27,2120.0,C2005,0,999999,2080.0,2083.0,20218,C2005,15:00:00,38257978.0,2019-05-27,18106
2019-05-28 15:00:00,2112.0,2019-05-28,2121.0,C2005,0,999999,2108.0,2113.0,21646,C2005,15:00:00,21369216.0,2019-05-28,10118
2019-05-29 15:00:00,2128.0,2019-05-29,2143.0,C2005,0,999999,2107.0,2112.0,31230,C2005,15:00:00,54625760.0,2019-05-29,25670
2019-05-30 15:00:00,2111.0,2019-05-30,2145.0,C2005,0,999999,2109.0,2131.0,43836,C2005,15:00:00,77330152.0,2019-05-30,36632
2019-05-31 15:00:00,2106.0,2019-05-31,2120.0,C2005,0,999999,2094.0,2115.0,43056,C2005,15:00:00,59174388.0,2019-05-31,28098
2019-06-03 15:00:00,2100.0,2019-06-03,2110.0,C2005,0,999999,2090.0,2106.0,44076,C2005,15:00:00,36737400.0,2019-06-03,17494
2019-06-04 15:00:00,2114.0,2019-06-04,2122.0,C2005,0,999999,2099.0,2099.0,49950,C2005,15:00:00,46596788.0,2019-06-04,22042
2019-06-05 15:00:00,2098.0,2019-06-05,2114.0,C2005,0,999999,2091.0,2091.0,50614,C2005,15:00:00,24202528.0,2019-06-05,11536
2019-06-06 15:00:00,2095.0,2019-06-06,2102.0,C2005,0,999999,2087.0,2093.0,48860,C2005,15:00:00,32866360.0,2019-06-06,15688
2019-06-10 15:00:00,2106.0,2019-06-10,2110.0,C2005,0,999999,2094.0,2094.0,47110,C2005,15:00:00,31830084.0,2019-06-10,15114
2019-06-11 15:00:00,2099.0,2019-06-11,2112.0,C2005,0,999999,2097.0,2104.0,46782,C2005,15:00:00,23172960.0,2019-06-11,11040
2019-06-12 15:00:00,2098.0,2019-06-12,2107.0,C2005,0,999999,2093.0,2101.0,50320,C2005,15:00:00,36614296.0,2019-06-12,17452
2019-06-13 15:00:00,2108.0,2019-06-13,2110.0,C2005,0,999999,2098.0,2100.0,54756,C2005,15:00:00,35524016.0,2019-06-13,16852
2019-06-14 15:00:00,2095.0,2019-06-14,2110.0,C2005,0,999999,2094.0,2108.0,56986,C2005,15:00:00,35677850.0,2019-06-14,17030
2019-06-17 15:00:00,2101.0,2019-06-17,2103.0,C2005,0,999999,2083.0,2095.0,61338,C2005,15:00:00,40250958.0,2019-06-17,19158
2019-06-18 15:00:00,2090.0,2019-06-18,2100.0,C2005,0,999999,2063.0,2063.0,66696,C2005,15:00:00,42995480.0,2019-06-18,20572
2019-06-19 15:00:00,2071.0,2019-06-19,2091.0,C2005,0,999999,2070.0,2089.0,65852,C2005,15:00:00,45690402.0,2019-06-19,22062
2019-06-20 15:00:00,2058.0,2019-06-20,2076.0,C2005,0,999999,2056.0,2070.0,66448,C2005,15:00:00,30252600.0,2019-06-20,14700
2019-06-21 15:00:00,2064.0,2019-06-21,2072.0,C2005,0,999999,2056.0,2058.0,75830,C2005,15:00:00,66469056.0,2019-06-21,32204
2019-06-24 15:00:00,2074.0,2019-06-24,2078.0,C2005,0,999999,2055.0,2065.0,76142,C2005,15:00:00,64675616.0,2019-06-24,31184
2019-06-25 15:00:00,2070.0,2019-06-25,2079.0,C2005,0,999999,2064.0,2070.0,74886,C2005,15:00:00,16174980.0,2019-06-25,7814
2019-06-26 15:00:00,2065.0,2019-06-26,2077.0,C2005,0,999999,2064.0,2075.0,73584,C2005,15:00:00,31825780.0,2019-06-26,15412
2019-06-27 15:00:00,2063.0,2019-06-27,2070.0,C2005,0,999999,2062.0,2070.0,72830,C2005,15:00:00,14086164.0,2019-06-27,6828
2019-06-28 15:00:00,2075.0,2019-06-28,2077.0,C2005,0,999999,2059.0,2061.0,83328,C2005,15:00:00,48040400.0,2019-06-28,23152
2019-07-01 15:00:00,2056.0,2019-07-01,2078.0,C2005,0,999999,2052.0,2074.0,87600,C2005,15:00:00,59809040.0,2019-07-01,29090
2019-07-02 15:00:00,2050.0,2019-07-02,2059.0,C2005,0,999999,2049.0,2053.0,91536,C2005,15:00:00,35583900.0,2019-07-02,17358
2019-07-03 15:00:00,2058.0,2019-07-03,2060.0,C2005,0,999999,2052.0,2052.0,95898,C2005,15:00:00,26367096.0,2019-07-03,12812
2019-07-04 15:00:00,2057.0,2019-07-04,2064.0,C2005,0,999999,2055.0,2059.0,95748,C2005,15:00:00,21289950.0,2019-07-04,10350
2019-07-05 15:00:00,2059.0,2019-07-05,2061.0,C2005,0,999999,2056.0,2057.0,97256,C2005,15:00:00,12003970.0,2019-07-05,5830
2019-07-08 15:00:00,2057.0,2019-07-08,2065.0,C2005,0,999999,2055.0,2058.0,97100,C2005,15:00:00,12913846.0,2019-07-08,6278
2019-07-09 15:00:00,2046.0,2019-07-09,2060.0,C2005,0,999999,2044.0,2053.0,102302,C2005,15:00:00,40772688.0,2019-07-09,19928
2019-07-10 15:00:00,2036.0,2019-07-10,2047.0,C2005,0,999999,2034.0,2047.0,105606,C2005,15:00:00,41795008.0,2019-07-10,20528
2019-07-11 15:00:00,2036.0,2019-07-11,2045.0,C2005,0,999999,2033.0,2039.0,107462,C2005,15:00:00,14080976.0,2019-07-11,6916
2019-07-12 15:00:00,2042.0,2019-07-12,2043.0,C2005,0,999999,2033.0,2038.0,108382,C2005,15:00:00,25341220.0,2019-07-12,12410
2019-07-15 15:00:00,2050.0,2019-07-15,2053.0,C2005,0,999999,2039.0,2041.0,113054,C2005,15:00:00,41205000.0,2019-07-15,20100
2019-07-16 15:00:00,2046.0,2019-07-16,2048.0,C2005,0,999999,2042.0,2046.0,112994,C2005,15:00:00,20341332.0,2019-07-16,9942
2019-07-17 15:00:00,2044.0,2019-07-17,2048.0,C2005,0,999999,2042.0,2043.0,114852,C2005,15:00:00,22712928.0,2019-07-17,11112
2019-07-18 15:00:00,2050.0,2019-07-18,2051.0,C2005,0,999999,2044.0,2045.0,115478,C2005,15:00:00,29901300.0,2019-07-18,14586
2019-07-19 15:00:00,2040.0,2019-07-19,2055.0,C2005,0,999999,2039.0,2050.0,120390,C2005,15:00:00,63611280.0,2019-07-19,31182
