datetime,close,date,high,instrument_id,limit_down,limit_up,low,open,open_interest,symbol,time,total_turnover,trading_day,volume
2018-01-03 15:00:00,5954.0,2018-01-03,5962.0,SR99,0,999999,5938.0,5946.0,659742,SR99,15:00:00,1494632620.0,2018-01-03,251030
2018-01-04 15:00:00,5894.0,2018-01-04,5943.0,SR99,0,999999,5877.0,5942.0,667616,SR99,15:00:00,3321139332.0,2018-01-04,563478
2018-01-05 15:00:00,5884.0,2018-01-05,5897.0,SR99,0,999999,5860.0,5893.0,654728,SR99,15:00:00,2037676272.0,2018-01-05,346308
2018-01-08 15:00:00,5894.0,2018-01-08,5904.0,SR99,0,999999,5870.0,5888.0,655568,SR99,15:00:00,1451185316.0,2018-01-08,246214
2018-01-09 15:00:00,5881.0,2018-01-09,5902.0,SR99,0,999999,5866.0,5897.0,675050,SR99,15:00:00,2214419978.0,2018-01-09,376538
2018-01-10 15:00:00,5889.0,2018-01-10,5900.0,SR99,0,999999,5877.0,5900.0,658300,SR99,15:00:00,1492755498.0,2018-01-10,253482
2018-01-11 15:00:00,5886.0,2018-01-11,5899.0,SR99,0,999999,5869.0,5894.0,661658,SR99,15:00:00,1494349452.0,2018-01-11,253882
2018-01-12 15:00:00,5878.0,2018-01-12,5883.0,SR99,0,999999,5862.0,5876.0,666516,SR99,15:00:00,1203203088.0,2018-01-12,204696
2018-01-15 15:00:00,5831.0,2018-01-15,5887.0,SR99,0,999999,5822.0,5882.0,715570,SR99,15:00:00,2561698244.0,2018-01-15,439324
2018-01-16 15:00:00,5808.0,2018-01-16,5839.0,SR99,0,999999,5802.0,5833.0,658198,SR99,15:00:00,1055069664.0,2018-01-16,181658
2018-01-17 15:00:00,5774.0,2018-01-17,5823.0,SR99,0,999999,5769.0,5812.0,660142,SR99,15:00:00,2364429904.0,2018-01-17,409496
2018-01-18 15:00:00,5757.0,2018-01-18,5789.0,SR99,0,999999,5754.0,5778.0,684778,SR99,15:00:00,1723254324.0,2018-01-18,299332
2018-01-19 15:00:00,5741.0,2018-01-19,5760.0,SR99,0,999999,5703.0,5758.0,690330,SR99,15:00:00,2750030856.0,2018-01-19,479016
2018-01-22 15:00:00,5751.0,2018-01-22,5753.0,SR99,0,999999,5719.0,5734.0,717806,SR99,15:00:00,2116793574.0,2018-01-22,368074
2018-01-23 15:00:00,5735.0,2018-01-23,5759.0,SR99,0,999999,5734.0,5745.0,719500,SR99,15:00:00,1509348770.0,2018-01-23,263182
2018-01-24 15:00:00,5771.0,2018-01-24,5805.0,SR99,0,999999,5754.0,5754.0,703306,SR99,15:00:00,2927870682.0,2018-01-24,507342
2018-01-25 15:00:00,5774.0,2018-01-25,5797.0,SR99,0,999999,5763.0,5772.0,689866,SR99,15:00:00,1435889868.0,2018-01-25,248682
2018-01-26 15:00:00,5772.0,2018-01-26,5803.0,SR99,0,999999,5764.0,5790.0,719126,SR99,15:00:00,1732939104.0,2018-01-26,300232
2018-01-29 15:00:00,5750.0,2018-01-29,5788.0,SR99,0,999999,5730.0,5777.0,734934,SR99,15:00:00,1751990500.0,2018-01-29,304694
2018-01-30 15:00:00,5745.0,2018-01-30,5768.0,SR99,0,999999,5742.0,5753.0,732876,SR99,15:00:00,1232268030.0,2018-01-30,214494
2018-01-31 15:00:00,5794.0,2018-01-31,5836.0,SR99,0,999999,5748.0,5748.0,703598,SR99,15:00:00,3333798072.0,2018-01-31,575388
2018-02-01 15:00:00,5775.0,2018-02-01,5795.0,SR99,0,999999,5744.0,5794.0,702786,SR99,15:00:00,2327810100.0,2018-02-01,403084
2018-02-02 15:00:00,5768.0,2018-02-02,5797.0,SR99,0,999999,5761.0,5786.0,694160,SR99,15:00:00,1588253408.0,2018-02-02,275356
2018-02-05 15:00:00,5775.0,2018-02-05,5785.0,SR99,0,999999,5762.0,5774.0,693010,SR99,15:00:00,1181796000.0,2018-02-05,204640
2018-02-06 15:00:00,5772.0,2018-02-06,5788.0,SR99,0,999999,5756.0,5775.0,689128,SR99,15:00:00,1698099312.0,2018-02-06,294196
2018-02-07 15:00:00,5750.0,2018-02-07,5773.0,SR99,0,999999,5747.0,5772.0,684872,SR99,15:00:00,1580146000.0,2018-02-07,274808
2018-02-08 15:00:00,5776.0,2018-02-08,5785.0,SR99,0,999999,5754.0,5756.0,664804,SR99,15:00:00,1570344224.0,2018-02-08,271874
2018-02-09 15:00:00,5729.0,2018-02-09,5790.0,SR99,0,999999,5729.0,5780.0,661000,SR99,15:00:00,1962056462.0,2018-02-09,342478
2018-02-12 15:00:00,5787.0,2018-02-12,5787.0,SR99,0,999999,5734.0,5735.0,636864,SR99,15:00:00,1449805536.0,2018-02-12,250528
2018-02-13 15:00:00,5777.0,2018-02-13,5802.0,SR99,0,999999,5773.0,5786.0,605252,SR99,15:00:00,1089530646.0,2018-02-13,188598
2018-02-14 15:00:00,5749.0,2018-02-14,5778.0,SR99,0,999999,5743.0,5772.0,595774,SR99,15:00:00,891336458.0,2018-02-14,155042
2018-02-22 15:00:00,5736.0,2018-02-22,5764.0,SR99,0,999999,5703.0,5763.0,606966,SR99,15:00:00,821578752.0,2018-02-22,143232
2018-02-23 15:00:00,5785.0,2018-02-23,5786.0,SR99,0,999999,5742.0,5747.0,617414,SR99,15:00:00,1346979400.0,2018-02-23,232840
2018-02-26 15:00:00,5788.0,2018-02-26,5796.0,SR99,0,999999,5767.0,5783.0,640306,SR99,15:00:00,1429867520.0,2018-02-26,247040
2018-02-27 15:00:00,5767.0,2018-02-27,5800.94824219,SR99,0,999999,5766.0,5780.93408203,656410,SR99,15:00:00,1353388026.0,2018-02-27,234678
2018-02-28 15:00:00,5751.0,2018-02-28,5775.0,SR99,0,999999,5720.0,5774.0,653180,SR99,15:00:00,1935407034.0,2018-02-28,336534
2018-03-01 15:00:00,5749.0,2018-03-01,5775.0,SR99,0,999999,5741.0,5746.0,658732,SR99,15:00:00,1540375562.0,2018-03-01,267938
2018-03-02 15:00:00,5746.0,2018-03-02,5763.0,SR99,0,999999,5736.0,5754.0,651554,SR99,15:00:00,1582517352.0,2018-03-02,275412
2018-03-05 15:00:00,5716.0,2018-03-05,5768.0,SR99,0,999999,5716.0,5752.0,662054,SR99,15:00:00,1977461632.0,2018-03-05,345952
2018-03-06 15:00:00,5668.0,2018-03-06,5733.0,SR99,0,999999,5667.0,5718.0,688030,SR99,15:00:00,2948640968.0,2018-03-06,520226
2018-03-07 15:00:00,5669.0,2018-03-07,5681.0,SR99,0,999999,5637.0,5672.0,703318,SR99,15:00:00,3077257918.0,2018-03-07,542822
2018-03-08 15:00:00,5658.0,2018-03-08,5675.0,SR99,0,999999,5645.0,5665.0,699234,SR99,15:00:00,1639756296.0,2018-03-08,289812
2018-03-09 15:00:00,5630.0,2018-03-09,5674.0,SR99,0,999999,5617.0,5667.0,701788,SR99,15:00:00,1909245600.0,2018-03-09,339120
2018-03-12 15:00:00,5674.0,2018-03-12,5692.0,SR99,0,999999,5633.0,5633.0,677708,SR99,15:00:00,2016857344.0,2018-03-12,355456
2018-03-13 15:00:00,5690.0,2018-03-13,5690.0,SR99,0,999999,5672.0,5682.0,674706,SR99,15:00:00,1345275320.0,2018-03-13,236428
2018-03-14 15:00:00,5691.0,2018-03-14,5717.0,SR99,0,999999,5675.0,5711.0,676722,SR99,15:00:00,1843895382.0,2018-03-14,324002
2018-03-15 15:00:00,5708.0,2018-03-15,5713.0,SR99,0,999999,5686.0,5696.0,664268,SR99,15:00:00,1638561312.0,2018-03-15,287064
2018-03-16 15:00:00,5689.0,2018-03-16,5717.0,SR99,0,999999,5687.0,5706.0,663364,SR99,15:00:00,1480596384.0,2018-03-16,260256
2018-03-19 15:00:00,5711.0,2018-03-19,5732.0,SR99,0,999999,5689.0,5695.0,644350,SR99,15:00:00,1875857904.0,2018-03-19,328464
2018-03-20 15:00:00,5692.0,2018-03-20,5716.0,SR99,0,999999,5681.0,5705.0,649242,SR99,15:00:00,1810135688.0,2018-03-20,318014
2018-03-21 15:00:00,5659.0,2018-03-21,5699.0,SR99,0,999999,5644.0,5691.0,654608,SR99,15:00:00,2548428788.0,2018-03-21,450332
2018-03-22 15:00:00,5672.0,2018-03-22,5676.0,SR99,0,999999,5653.0,5667.0,651768,SR99,15:00:00,1197846992.0,2018-03-22,211186
2018-03-23 15:00:00,5663.0,2018-03-23,5679.0,SR99,0,999999,5623.0,5677.0,625594,SR99,15:00:00,2323925310.0,2018-03-23,410370
2018-03-26 15:00:00,5645.0,2018-03-26,5661.0,SR99,0,999999,5621.0,5656.0,646608,SR99,15:00:00,2040599760.0,2018-03-26,361488
2018-03-27 15:00:00,5635.0,2018-03-27,5661.0,SR99,0,999999,5621.0,5640.0,645370,SR99,15:00:00,1868813940.0,2018-03-27,331644
2018-03-28 15:00:00,5607.0,2018-03-28,5644.0,SR99,0,999999,5606.0,5637.0,660802,SR99,15:00:00,1754329374.0,2018-03-28,312882
2018-03-29 15:00:00,5555.0,2018-03-29,5613.0,SR99,0,999999,5534.0,5601.0,677994,SR99,15:00:00,2661044980.0,2018-03-29,479036
2018-03-30 15:00:00,5590.0,2018-03-30,5600.0,SR99,0,999999,5541.0,5553.0,681958,SR99,15:00:00,2472043340.0,2018-03-30,442226
2018-04-02 15:00:00,5595.0,2018-04-02,5620.0,SR99,0,999999,5579.0,5613.0,661608,SR99,15:00:00,1744218870.0,2018-04-02,311746
2018-04-03 15:00:00,5559.0,2018-04-03,5600.0,SR99,0,999999,5555.0,5596.0,670252,SR99,15:00:00,1369537476.0,2018-04-03,246364
2018-04-04 15:00:00,5563.0,2018-04-04,5566.0,SR99,0,999999,5545.0,5561.0,655748,SR99,15:00:00,1215181720.0,2018-04-04,218440
2018-04-09 15:00:00,5561.0,2018-04-09,5574.0,SR99,0,999999,5498.0,5556.0,654770,SR99,15:00:00,1158723326.0,2018-04-09,208366
2018-04-10 15:00:00,5576.0,2018-04-10,5585.0,SR99,0,999999,5563.0,5567.0,669758,SR99,15:00:00,1500523904.0,2018-04-10,269104
2018-04-11 15:00:00,5562.0,2018-04-11,5578.0,SR99,0,999999,5558.0,5559.0,670146,SR99,15:00:00,1719681408.0,2018-04-11,309184
2018-04-12 15:00:00,5515.0,2018-04-12,5557.0,SR99,0,999999,5515.0,5553.0,672874,SR99,15:00:00,1811622350.0,2018-04-12,328490
2018-04-13 15:00:00,5508.0,2018-04-13,5533.0,SR99,0,999999,5488.0,5524.0,662340,SR99,15:00:00,1799551728.0,2018-04-13,326716
